candidate_id,exp027_cohort,family_id,candidate_role,segment,completed_trades_backward_adjusted,net_profit_usd_backward_adjusted,trade_profit_factor_backward_adjusted,maximum_drawdown_usd_backward_adjusted,win_rate_backward_adjusted,completed_trades_unadjusted,net_profit_usd_unadjusted,trade_profit_factor_unadjusted,maximum_drawdown_usd_unadjusted,win_rate_unadjusted,completed_trades_difference,net_profit_usd_difference,trade_profit_factor_difference,maximum_drawdown_usd_difference,win_rate_difference
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,LONG_TRADES,14,-7440.0,0.5514018691588785,-10740.0,0.2857142857142857,14,-7440.0,0.5514018691588785,-10740.0,0.2857142857142857,0,0.0,0.0,0.0,0.0
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,SHORT_TRADES,17,10910.0,1.7172912557527942,-6795.0,0.4117647058823529,17,10910.0,1.7172912557527942,-6795.0,0.4117647058823529,0,0.0,0.0,0.0,0.0
gap_fade_0p75_1r,PRIMARY_CONFIRMATION_COHORT,gap_fade,DEVELOPMENT,ALL_TRADES,15,6240.0,1.5299363057324842,-6215.0,0.4666666666666667,15,6240.0,1.5299363057324842,-6215.0,0.4666666666666667,0,0.0,0.0,0.0,0.0
gap_fade_0p75_1r,PRIMARY_CONFIRMATION_COHORT,gap_fade,DEVELOPMENT,LONG_TRADES,7,4395.0,1.8443804034582132,-5205.0,0.42857142857142855,7,4395.0,1.8443804034582132,-5205.0,0.42857142857142855,0,0.0,0.0,0.0,0.0
gap_fade_0p75_1r,PRIMARY_CONFIRMATION_COHORT,gap_fade,DEVELOPMENT,SHORT_TRADES,8,1845.0,1.2808219178082192,-2600.0,0.5,8,1845.0,1.2808219178082192,-2600.0,0.5,0,0.0,0.0,0.0,0.0
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,ALL_TRADES,15,580.0,1.0299896587383661,-9245.0,0.26666666666666666,15,580.0,1.0299896587383661,-9245.0,0.26666666666666666,0,0.0,0.0,0.0,0.0
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,LONG_TRADES,7,-7030.0,0.3174757281553398,-10300.0,0.14285714285714285,7,-7030.0,0.3174757281553398,-10300.0,0.14285714285714285,0,0.0,0.0,0.0,0.0
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,SHORT_TRADES,8,7610.0,1.8418141592920354,-4470.0,0.375,8,7610.0,1.8418141592920354,-4470.0,0.375,0,0.0,0.0,0.0,0.0
opening_drive_0p25_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,106,9127.5,1.0595013037809649,-45697.5,0.5094339622641509,106,9127.5,1.0595013037809649,-45697.5,0.5094339622641509,0,0.0,0.0,0.0,0.0
opening_drive_0p25_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,61,-2662.5,0.968440704083447,-36487.5,0.5245901639344263,61,-2662.5,0.968440704083447,-36487.5,0.5245901639344263,0,0.0,0.0,0.0,0.0
opening_drive_0p25_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,45,11790.0,1.1707829361917867,-19890.0,0.4888888888888889,45,11790.0,1.1707829361917867,-19890.0,0.4888888888888889,0,0.0,0.0,0.0,0.0
opening_drive_0p25_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,106,2590.0,1.016603096253085,-45395.0,0.4716981132075472,106,2590.0,1.016603096253085,-45395.0,0.4716981132075472,0,0.0,0.0,0.0,0.0
opening_drive_0p25_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,61,-4495.0,0.9478447525671521,-36475.0,0.4918032786885246,61,-4495.0,0.9478447525671521,-36475.0,0.4918032786885246,0,0.0,0.0,0.0,0.0
opening_drive_0p25_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,45,7085.0,1.101489757914339,-19030.0,0.4444444444444444,45,7085.0,1.101489757914339,-19030.0,0.4444444444444444,0,0.0,0.0,0.0,0.0
opening_drive_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,69,1782.5,1.0164089109822332,-46832.5,0.5072463768115942,69,1782.5,1.0164089109822332,-46832.5,0.5072463768115942,0,0.0,0.0,0.0,0.0
opening_drive_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,38,-3332.5,0.9402402940912759,-27490.0,0.5263157894736842,38,-3332.5,0.9402402940912759,-27490.0,0.5263157894736842,0,0.0,0.0,0.0,0.0
opening_drive_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,31,5115.0,1.096755887638324,-29362.5,0.4838709677419355,31,5115.0,1.096755887638324,-29362.5,0.4838709677419355,0,0.0,0.0,0.0,0.0
opening_drive_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,69,-6505.0,0.9403758020164986,-43730.0,0.4782608695652174,69,-6505.0,0.9403758020164986,-43730.0,0.4782608695652174,0,0.0,0.0,0.0,0.0
opening_drive_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,38,-5620.0,0.8998217468805704,-26400.0,0.5,38,-5620.0,0.8998217468805704,-26400.0,0.5,0,0.0,0.0,0.0,0.0
opening_drive_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,31,-885.0,0.9833018867924528,-26260.0,0.45161290322580644,31,-885.0,0.9833018867924528,-26260.0,0.45161290322580644,0,0.0,0.0,0.0,0.0
opening_drive_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,27,10340.0,1.2492767598842816,-13712.5,0.5185185185185185,27,10340.0,1.2492767598842816,-13712.5,0.5185185185185185,0,0.0,0.0,0.0,0.0
opening_drive_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,13,-5230.0,0.7332313185411885,-11720.0,0.46153846153846156,13,-5230.0,0.7332313185411885,-11720.0,0.46153846153846156,0,0.0,0.0,0.0,0.0
opening_drive_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,14,15570.0,1.7117714285714285,-11490.0,0.5714285714285714,14,15570.0,1.7117714285714285,-11490.0,0.5714285714285714,0,0.0,0.0,0.0,0.0
opening_drive_0p75_time,PRIMARY_CONFIRMATION_COHORT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,27,7770.0,1.1873191899710704,-12605.0,0.5185185185185185,27,7770.0,1.1873191899710704,-12605.0,0.5185185185185185,0,0.0,0.0,0.0,0.0
opening_drive_0p75_time,PRIMARY_CONFIRMATION_COHORT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,13,-5230.0,0.7332313185411885,-11720.0,0.46153846153846156,13,-5230.0,0.7332313185411885,-11720.0,0.46153846153846156,0,0.0,0.0,0.0,0.0
opening_drive_0p75_time,PRIMARY_CONFIRMATION_COHORT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,14,13000.0,1.5942857142857143,-11490.0,0.5714285714285714,14,13000.0,1.5942857142857143,-11490.0,0.5714285714285714,0,0.0,0.0,0.0,0.0
opening_drive_1p00_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
opening_drive_1p00_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
opening_drive_1p00_1p5r,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
opening_drive_1p00_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
opening_drive_1p00_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
opening_drive_1p00_time,SECONDARY_MEASUREMENT_CONTEXT,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
orb_control_exp005_15m_both_time,FIXED_CONTROL,opening_range_breakout_control,CONTROL,ALL_TRADES,139,-23820.0,0.8853319212439223,-74605.0,0.45323741007194246,139,-23820.0,0.8853319212439223,-74605.0,0.45323741007194246,0,0.0,0.0,0.0,0.0
orb_control_exp005_15m_both_time,FIXED_CONTROL,opening_range_breakout_control,CONTROL,LONG_TRADES,76,15.0,1.0001510193808205,-29710.0,0.5,76,15.0,1.0001510193808205,-29710.0,0.5,0,0.0,0.0,0.0,0.0
orb_control_exp005_15m_both_time,FIXED_CONTROL,opening_range_breakout_control,CONTROL,SHORT_TRADES,63,-23835.0,0.7801300678013007,-62590.0,0.3968253968253968,63,-23835.0,0.7801300678013007,-62590.0,0.3968253968253968,0,0.0,0.0,0.0,0.0
orb_control_exp007_30m_long_1r,FIXED_CONTROL,opening_range_breakout_control,CONTROL,ALL_TRADES,90,25715.0,1.3238868946407205,-28920.0,0.6333333333333333,90,25715.0,1.3238868946407205,-28920.0,0.6333333333333333,0,0.0,0.0,0.0,0.0
orb_control_exp007_30m_long_1r,FIXED_CONTROL,opening_range_breakout_control,CONTROL,LONG_TRADES,90,25715.0,1.3238868946407205,-28920.0,0.6333333333333333,90,25715.0,1.3238868946407205,-28920.0,0.6333333333333333,0,0.0,0.0,0.0,0.0
orb_control_exp007_30m_long_1r,FIXED_CONTROL,opening_range_breakout_control,CONTROL,SHORT_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
premarket_continuation_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,25,-9537.5,0.629107524790978,-19522.5,0.28,25,-9537.5,0.629107524790978,-19522.5,0.28,0,0.0,0.0,0.0,0.0
premarket_continuation_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,13,1842.5,1.188780737704918,-5720.0,0.38461538461538464,13,1842.5,1.188780737704918,-5720.0,0.38461538461538464,0,0.0,0.0,0.0,0.0
premarket_continuation_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,12,-11380.0,0.28674396740833596,-14930.0,0.16666666666666666,12,-11380.0,0.28674396740833596,-14930.0,0.16666666666666666,0,0.0,0.0,0.0,0.0
premarket_continuation_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,25,-4080.0,0.8413377406183161,-20640.0,0.28,25,-4080.0,0.8413377406183161,-20640.0,0.28,0,0.0,0.0,0.0,0.0
premarket_continuation_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,13,595.0,1.0609631147540983,-5720.0,0.38461538461538464,13,595.0,1.0609631147540983,-5720.0,0.38461538461538464,0,0.0,0.0,0.0,0.0
premarket_continuation_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,12,-4675.0,0.7069884048887496,-14930.0,0.16666666666666666,12,-4675.0,0.7069884048887496,-14930.0,0.16666666666666666,0,0.0,0.0,0.0,0.0
premarket_continuation_0p625_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,18,-10482.5,0.46991150442477875,-16227.5,0.2222222222222222,18,-10482.5,0.46991150442477875,-16227.5,0.2222222222222222,0,0.0,0.0,0.0,0.0
premarket_continuation_0p625_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,9,172.5,1.025219298245614,-4870.0,0.3333333333333333,9,172.5,1.025219298245614,-4870.0,0.3333333333333333,0,0.0,0.0,0.0,0.0
premarket_continuation_0p625_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,9,-10655.0,0.17626594511016622,-12935.0,0.1111111111111111,9,-10655.0,0.17626594511016622,-12935.0,0.1111111111111111,0,0.0,0.0,0.0,0.0
premarket_continuation_0p625_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,18,-6435.0,0.6745891276864728,-17600.0,0.2222222222222222,18,-6435.0,0.6745891276864728,-17600.0,0.2222222222222222,0,0.0,0.0,0.0,0.0
premarket_continuation_0p625_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,9,-2520.0,0.631578947368421,-4870.0,0.3333333333333333,9,-2520.0,0.631578947368421,-4870.0,0.3333333333333333,0,0.0,0.0,0.0,0.0
premarket_continuation_0p625_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,9,-3915.0,0.697332817935833,-12935.0,0.1111111111111111,9,-3915.0,0.697332817935833,-12935.0,0.1111111111111111,0,0.0,0.0,0.0,0.0
premarket_continuation_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,9,-10860.0,0.0,-10860.0,0.0,9,-10860.0,0.0,-10860.0,0.0,0,0.0,0.0,0.0,0.0
premarket_continuation_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,5,-4870.0,0.0,-4870.0,0.0,5,-4870.0,0.0,-4870.0,0.0,0,0.0,0.0,0.0,0.0
premarket_continuation_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,4,-5990.0,0.0,-5990.0,0.0,4,-5990.0,0.0,-5990.0,0.0,0,0.0,0.0,0.0,0.0
premarket_continuation_0p75_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,9,-10860.0,0.0,-10860.0,0.0,9,-10860.0,0.0,-10860.0,0.0,0,0.0,0.0,0.0,0.0
premarket_continuation_0p75_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,5,-4870.0,0.0,-4870.0,0.0,5,-4870.0,0.0,-4870.0,0.0,0,0.0,0.0,0.0,0.0
premarket_continuation_0p75_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,4,-5990.0,0.0,-5990.0,0.0,4,-5990.0,0.0,-5990.0,0.0,0,0.0,0.0,0.0,0.0
premarket_continuation_0p875_1p5r,PRIMARY_CONFIRMATION_COHORT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
premarket_continuation_0p875_1p5r,PRIMARY_CONFIRMATION_COHORT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
premarket_continuation_0p875_1p5r,PRIMARY_CONFIRMATION_COHORT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
premarket_continuation_0p875_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
premarket_continuation_0p875_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
premarket_continuation_0p875_time,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,
